                       w                      Re11                         w                      Im11
  4.2961279537840419E+01    2.9127004213527243E-03    4.2961279537840419E+01    3.1994197660132076E-02
  4.3118359170519909E+01    2.8917395544272892E-03    4.3118359170519909E+01    3.1879743458696583E-02
  4.3275438803199400E+01    2.8710033548905896E-03    4.3275438803199400E+01    3.1766097738046541E-02
  4.3432518435878890E+01    2.8504886345270867E-03    4.3432518435878890E+01    3.1653252042520862E-02
  4.3589598068558381E+01    2.8301922612790440E-03    4.3589598068558381E+01    3.1541198032801171E-02
  4.3746677701237871E+01    2.8101111580678385E-03    4.3746677701237871E+01    3.1429927483938622E-02
  4.3903757333917362E+01    2.7902423016439295E-03    4.3903757333917362E+01    3.1319432283420393E-02
  4.4060836966596845E+01    2.7705827214646972E-03    4.4060836966596845E+01    3.1209704429274766E-02
  4.4217916599276336E+01    2.7511294985993816E-03    4.4217916599276336E+01    3.1100736028214001E-02
  4.4374996231955826E+01    2.7318797646603867E-03    4.4374996231955826E+01    3.0992519293814094E-02
