                       w                      Re11                         w                      Im11
  3.4164820107788998E+01    5.7105999999999997E-04    3.4164820107788998E+01    1.0681800000000000E-02
  3.4321899740468488E+01    5.6596999999999995E-04    3.4321899740468488E+01    1.0633760000000001E-02
  3.4478979373147979E+01    5.6096000000000000E-04    3.4478979373147979E+01    1.0586140000000001E-02
  3.4636059005827470E+01    5.5599999999999996E-04    3.4636059005827470E+01    1.0538940000000000E-02
  3.4793138638506960E+01    5.5110999999999995E-04    3.4793138638506960E+01    1.0492160000000000E-02
  3.4950218271186451E+01    5.4628999999999995E-04    3.4950218271186451E+01    1.0445790000000000E-02
  3.5107297903865941E+01    5.4151999999999998E-04    3.5107297903865941E+01    1.0399820000000001E-02
  3.5264377536545425E+01    5.3682000000000003E-04    3.5264377536545425E+01    1.0354260000000001E-02
  3.5421457169224915E+01    5.3218000000000004E-04    3.5421457169224915E+01    1.0309080000000000E-02
  3.5578536801904406E+01    5.2760000000000003E-04    3.5578536801904406E+01    1.0264300000000001E-02
  3.5735616434583896E+01    5.2307999999999999E-04    3.5735616434583896E+01    1.0219900000000001E-02
  3.5892696067263387E+01    5.1860999999999997E-04    3.5892696067263387E+01    1.0175880000000000E-02
  3.6049775699942877E+01    5.1420000000000003E-04    3.6049775699942877E+01    1.0132240000000001E-02
  3.6206855332622368E+01    5.0984999999999995E-04    3.6206855332622368E+01    1.0088969999999999E-02
  3.6363934965301858E+01    5.0555000000000001E-04    3.6363934965301858E+01    1.0046060000000001E-02
  3.6521014597981342E+01    5.0131000000000004E-04    3.6521014597981342E+01    1.0003510000000000E-02
  3.6678094230660832E+01    4.9711000000000004E-04    3.6678094230660832E+01    9.9613199999999992E-03
  3.6835173863340323E+01    4.9297000000000002E-04    3.6835173863340323E+01    9.9194799999999996E-03
  3.6992253496019813E+01    4.8888999999999996E-04    3.6992253496019813E+01    9.8779799999999997E-03
  3.7149333128699304E+01    4.8484999999999999E-04    3.7149333128699304E+01    9.8368299999999995E-03
  3.7306412761378795E+01    4.8086000000000000E-04    3.7306412761378795E+01    9.7960200000000008E-03
  3.7463492394058285E+01    4.7691999999999998E-04    3.7463492394058285E+01    9.7555500000000000E-03
  3.7620572026737776E+01    4.7301999999999999E-04    3.7620572026737776E+01    9.7154000000000008E-03
  3.7777651659417259E+01    4.6917999999999998E-04    3.7777651659417259E+01    9.6755899999999995E-03
  3.7934731292096750E+01    4.6537999999999999E-04    3.7934731292096750E+01    9.6360899999999999E-03
  3.8091810924776240E+01    4.6162999999999998E-04    3.8091810924776240E+01    9.5969100000000002E-03
  3.8248890557455731E+01    4.5792000000000001E-04    3.8248890557455731E+01    9.5580500000000002E-03
  3.8405970190135221E+01    4.5425000000000001E-04    3.8405970190135221E+01    9.5195000000000002E-03
  3.8563049822814712E+01    4.5062999999999999E-04    3.8563049822814712E+01    9.4812600000000000E-03
  3.8720129455494202E+01    4.4705000000000000E-04    3.8720129455494202E+01    9.4433199999999998E-03
  3.8877209088173693E+01    4.4351999999999998E-04    3.8877209088173693E+01    9.4056899999999995E-03
  3.9034288720853176E+01    4.4002000000000001E-04    3.9034288720853176E+01    9.3683399999999993E-03
  3.9191368353532667E+01    4.3657000000000000E-04    3.9191368353532667E+01    9.3313000000000007E-03
  3.9348447986212157E+01    4.3315999999999998E-04    3.9348447986212157E+01    9.2945400000000004E-03
  3.9505527618891648E+01    4.2978999999999999E-04    3.9505527618891648E+01    9.2580700000000002E-03
  3.9662607251571139E+01    4.2644999999999998E-04    3.9662607251571139E+01    9.2218800000000000E-03
  3.9819686884250629E+01    4.2315000000000001E-04    3.9819686884250629E+01    9.1859699999999999E-03
  3.9976766516930120E+01    4.1990000000000001E-04    3.9976766516930120E+01    9.1503399999999999E-03
  4.0133846149609610E+01    4.1668000000000000E-04    4.0133846149609610E+01    9.1149899999999999E-03
  4.0290925782289094E+01    4.1348999999999997E-04    4.0290925782289094E+01    9.0799000000000001E-03
  4.0448005414968584E+01    4.1033999999999998E-04    4.0448005414968584E+01    9.0450800000000005E-03
  4.0605085047648075E+01    4.0723000000000002E-04    4.0605085047648075E+01    9.0105299999999992E-03
  4.0762164680327565E+01    4.0414999999999998E-04    4.0762164680327565E+01    8.9762300000000000E-03
  4.0919244313007056E+01    4.0110999999999999E-04    4.0919244313007056E+01    8.9422000000000008E-03
  4.1076323945686546E+01    3.9809999999999997E-04    4.1076323945686546E+01    8.9084200000000002E-03
  4.1233403578366037E+01    3.9512999999999999E-04    4.1233403578366037E+01    8.8748899999999999E-03
  4.1390483211045527E+01    3.9218000000000000E-04    4.1390483211045527E+01    8.8416199999999997E-03
  4.1547562843725011E+01    3.8926999999999999E-04    4.1547562843725011E+01    8.8085899999999998E-03
  4.1704642476404501E+01    3.8640000000000001E-04    4.1704642476404501E+01    8.7758000000000003E-03
  4.1861722109083992E+01    3.8355000000000003E-04    4.1861722109083992E+01    8.7432599999999992E-03
  4.2018801741763482E+01    3.8074000000000002E-04    4.2018801741763482E+01    8.7109500000000003E-03
  4.2175881374442973E+01    3.7795000000000000E-04    4.2175881374442973E+01    8.6788899999999999E-03
  4.2332961007122464E+01    3.7520000000000001E-04    4.2332961007122464E+01    8.6470499999999999E-03
  4.2490040639801954E+01    3.7247000000000002E-04    4.2490040639801954E+01    8.6154500000000002E-03
  4.2647120272481445E+01    3.6978000000000000E-04    4.2647120272481445E+01    8.5840799999999991E-03
  4.2804199905160928E+01    3.6710999999999997E-04    4.2804199905160928E+01    8.5529300000000003E-03
  4.2961279537840419E+01    3.6447999999999998E-04    4.2961279537840419E+01    8.5220100000000000E-03
  4.3118359170519909E+01    3.6186999999999998E-04    4.3118359170519909E+01    8.4913100000000002E-03
  4.3275438803199400E+01    3.5929000000000001E-04    4.3275438803199400E+01    8.4608200000000008E-03
  4.3432518435878890E+01    3.5672999999999998E-04    4.3432518435878890E+01    8.4305600000000001E-03
  4.3589598068558381E+01    3.5419999999999999E-04    4.3589598068558381E+01    8.4005099999999999E-03
  4.3746677701237871E+01    3.5169999999999998E-04    4.3746677701237871E+01    8.3706700000000002E-03
  4.3903757333917362E+01    3.4923000000000002E-04    4.3903757333917362E+01    8.3410399999999992E-03
  4.4060836966596845E+01    3.4677999999999998E-04    4.4060836966596845E+01    8.3116200000000005E-03
  4.4217916599276336E+01    3.4435999999999999E-04    4.4217916599276336E+01    8.2824100000000005E-03
  4.4374996231955826E+01    3.4195999999999999E-04    4.4374996231955826E+01    8.2533999999999993E-03
